model,precision@1,precision@10,NegRecall@10,mAP@10,mAP@10_noNeg,delta_mAP@10_noNeg,pct_increase_mAP@10_noNeg,ling_sens_range,total_queries,mAP@1,mAP@5,mAP@50,mAP@1_noNeg,mAP@5_noNeg,mAP@50_noNeg,NegRecall@1,NegRecall@5,NegRecall@50,precision@5,precision@50,recall@1,recall@5,recall@10,recall@50,ling_sens_std
gpt5_text_premerge_reranked_standardized,0.2978,0.2026,0.0608,0.1837,0.1885,0.0049,0.0264,0.1844,7566,0.2978,0.2022,0.2057,0.3040,0.2074,0.2095,0.0563,0.0586,0.0997,0.2428,0.0763,0.0459,0.1626,0.2493,0.4106,0.0694
gpt5_text_premerge_standardized,0.2875,0.1966,0.0888,0.1793,0.1899,0.0107,0.0595,0.1714,7566,0.2875,0.2026,0.1992,0.3066,0.2148,0.2080,0.1086,0.0927,0.0997,0.2441,0.0763,0.0400,0.1574,0.2381,0.4106,0.0659
bge_vl_mllm_s1_retrieval_results_licensed_reranked,0.2963,0.1761,0.0568,0.1698,0.1736,0.0038,0.0224,0.1793,7635,0.2963,0.1954,0.1780,0.3020,0.1996,0.1812,0.0558,0.0557,0.0896,0.2258,0.0610,0.0479,0.1520,0.2209,0.3453,0.0682
gpt5_text_postmerge_standardized,0.2635,0.1777,0.0928,0.1576,0.1681,0.0105,0.0666,0.1701,7566,0.2635,0.1783,0.1781,0.2795,0.1900,0.1867,0.1186,0.0989,0.0983,0.2182,0.0718,0.0368,0.1415,0.2165,0.3878,0.0649
bge_vl_mllm_s1_retrieval_results_licensed,0.2326,0.1423,0.0865,0.1314,0.1409,0.0095,0.0723,0.1527,7635,0.2326,0.1508,0.1461,0.2490,0.1614,0.1543,0.1020,0.0926,0.0896,0.1787,0.0610,0.0371,0.1211,0.1796,0.3453,0.0585
bge_vl_mllm_s2_retrieval_results_licensed,0.1933,0.1405,0.1215,0.1207,0.1412,0.0205,0.1699,0.1431,7635,0.1933,0.1371,0.1354,0.2428,0.1623,0.1530,0.2068,0.1390,0.1087,0.1730,0.0604,0.0287,0.1154,0.1749,0.3389,0.0552
bge_vl_clip_large_retrieval_results_licensed,0.1842,0.1265,0.1011,0.1104,0.1200,0.0095,0.0863,0.1667,7635,0.1842,0.1231,0.1261,0.2005,0.1337,0.1346,0.1126,0.1059,0.1001,0.1527,0.0566,0.0282,0.1029,0.1598,0.3217,0.0646
metaclip2_retrieval_results_combined,0.0918,0.1017,0.1407,0.0764,0.1027,0.0263,0.3443,0.1450,7635,0.0918,0.0813,0.0908,0.1882,0.1174,0.1128,0.4102,0.1879,0.1112,0.1194,0.0473,0.0132,0.0809,0.1316,0.2770,0.0553
metaclip2_slerp_retrieval_results_licensed,0.0723,0.1029,0.1531,0.0750,0.1058,0.0308,0.4105,0.1370,7635,0.0723,0.0782,0.0891,0.1923,0.1204,0.1148,0.4777,0.2069,0.1190,0.1206,0.0471,0.0109,0.0825,0.1335,0.2759,0.0526
metaclip2_retrieval_results_text_only,0.1122,0.0758,0.0656,0.0635,0.0677,0.0043,0.0673,0.1412,7635,0.1122,0.0714,0.0740,0.1181,0.0759,0.0776,0.0833,0.0720,0.0656,0.0911,0.0374,0.0168,0.0615,0.0959,0.2177,0.0546
metaclip2_retrieval_results_image_only,0.0092,0.0522,0.2194,0.0331,0.0584,0.0254,0.7675,0.0242,7635,0.0092,0.0325,0.0389,0.1139,0.0690,0.0609,0.5999,0.2970,0.1430,0.0600,0.0239,0.0017,0.0431,0.0714,0.1479,0.0104
